run_kind,planner_mode,task_suite,host_label,ctx_size,model,config,repeats,wall_mean_sec,wall_std_sec,wall_ci95_sec,wall_min_sec,wall_max_sec,vs_q4_wall_pct,speedup_vs_q4_pct,quality_mean,quality_std,quality_ci95,quality_delta_vs_q4,tok_s_mean,rss_max_mean_mb,cpu_max_mean_pct,json_valid_mean,plan_valid_mean,server_failures
ctx_sweep,fixed,core,m4_paper_ctx,2048,gemma4_e4b,f16/f16,1,28.565157958000782,0.0,0.0,28.565157958000782,28.565157958000782,-6.197998901158231,6.607533771723295,0.8266666666666665,0.0,0.0,0.05333333333333323,19.84935636741997,8102.390625,159.0,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,2048,gemma4_e4b,q4_0/q4_0,1,30.452610417021788,0.0,0.0,30.452610417021788,30.452610417021788,0.0,0.0,0.7733333333333333,0.0,0.0,0.0,20.55653001261564,7664.171875,157.8,0.8,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,2048,gemma4_e4b,q8_0/q8_0,1,29.319070081983227,0.0,0.0,29.319070081983227,29.319070081983227,-3.72230925203364,3.8662219909052498,0.8133333333333332,0.0,0.0,0.039999999999999925,19.475378939487015,7834.515625,152.9,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,2048,gemma4_e4b,q8_0/tbq4,1,27.194164333006484,0.0,0.0,27.194164333006484,27.194164333006484,-10.700055067180593,11.982151920956131,0.7866666666666666,0.0,0.0,0.013333333333333308,20.73974375875393,7719.34375,132.5,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,2048,gemma4_e4b,tbq4/tbq4,1,28.618568790974678,0.0,0.0,28.618568790974678,28.618568790974678,-6.022608902591664,6.408572138748969,0.7466666666666667,0.0,0.0,-0.026666666666666616,21.524486584188146,7667.25,180.9,0.8,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,2048,qwen35_4b,f16/f16,1,32.23854024999309,0.0,0.0,32.23854024999309,32.23854024999309,0.864822304128765,-0.8574072549507261,0.8400000000000001,0.0,0.0,0.02666666666666684,16.37791276855698,6440.15625,150.8,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,2048,qwen35_4b,q4_0/q4_0,1,31.962124666999443,0.0,0.0,31.962124666999443,31.962124666999443,0.0,0.0,0.8133333333333332,0.0,0.0,0.0,15.424506510013625,6296.96875,194.5,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,2048,qwen35_4b,q8_0/q8_0,1,32.01707729100599,0.0,0.0,32.01707729100599,32.01707729100599,0.1719304476128336,-0.17163535418013298,0.8400000000000001,0.0,0.0,0.02666666666666684,15.148165948808911,6340.171875,158.0,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,2048,qwen35_4b,q8_0/tbq4,1,33.94795275002252,0.0,0.0,33.94795275002252,33.94795275002252,6.213066570863557,-5.849625447654605,0.86,0.0,0.0,0.046666666666666745,17.20280466690624,6335.046875,251.7,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,2048,qwen35_4b,tbq4/tbq4,1,32.45637216800242,0.0,0.0,32.45637216800242,32.45637216800242,1.5463537113140635,-1.5228057481120327,0.7666666666666666,0.0,0.0,-0.046666666666666634,16.144749551417608,6303.375,168.9,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,gemma4_e4b,f16/f16,1,39.59911250000005,0.0,0.0,39.59911250000005,39.59911250000005,-3.543548244332062,3.6737285892582516,0.76,0.0,0.0,-0.013333333333333308,14.520527448689647,8207.5,132.8,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,gemma4_e4b,q4_0/q4_0,1,41.053876417005085,0.0,0.0,41.053876417005085,41.053876417005085,0.0,0.0,0.7733333333333333,0.0,0.0,0.0,13.859836138745532,7713.21875,218.6,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,gemma4_e4b,q8_0/q8_0,1,38.42831404299068,0.0,0.0,38.42831404299068,38.42831404299068,-6.395406726870901,6.832364206967623,0.7333333333333333,0.0,0.0,-0.040000000000000036,14.858835580483927,7913.78125,140.1,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,gemma4_e4b,q8_0/tbq4,1,36.03800562499964,0.0,0.0,36.03800562499964,36.03800562499964,-12.217776321672268,13.918280728958887,0.7866666666666666,0.0,0.0,0.013333333333333308,15.261665856960292,7814.765625,178.6,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,gemma4_e4b,tbq4/tbq4,1,35.86719845698099,0.0,0.0,35.86719845698099,35.86719845698099,-12.633832448220906,14.460783621684259,0.8,0.0,0.0,0.026666666666666727,15.11130011032429,7727.1875,133.6,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,qwen35_4b,f16/f16,1,39.33585808398493,0.0,0.0,39.33585808398493,39.33585808398493,-2.653079519944168,2.7253861825939696,0.7066666666666667,0.0,0.0,-0.013333333333333308,12.329717047597883,6565.5625,170.6,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,qwen35_4b,q4_0/q4_0,1,40.407912125010625,0.0,0.0,40.407912125010625,40.407912125010625,0.0,0.0,0.72,0.0,0.0,0.0,11.532394907173826,6337.171875,257.8,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,qwen35_4b,q8_0/q8_0,1,42.95842670899583,0.0,0.0,42.95842670899583,42.95842670899583,6.311918755155266,-5.937169443524115,0.7466666666666667,0.0,0.0,0.026666666666666727,11.825386517090973,6409.515625,261.5,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,qwen35_4b,q8_0/tbq4,1,41.0887252070097,0.0,0.0,41.0887252070097,41.0887252070097,1.6848509269492329,-1.6569340581122027,0.7533333333333333,0.0,0.0,0.033333333333333326,13.020603518473955,6381.296875,278.4,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,4096,qwen35_4b,tbq4/tbq4,1,40.33690958400257,0.0,0.0,40.33690958400257,40.33690958400257,-0.17571445114114015,0.17602375030787432,0.7733333333333332,0.0,0.0,0.05333333333333323,12.841836554713066,6335.4375,209.3,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,8192,gemma4_e4b,f16/f16,1,55.67601774999639,0.0,0.0,55.67601774999639,55.67601774999639,-11.07885067842005,12.45918520278433,0.8266666666666665,0.0,0.0,0.013333333333333308,10.219840121378596,8516.125,215.6,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,8192,gemma4_e4b,q4_0/q4_0,1,62.61279591500352,0.0,0.0,62.61279591500352,62.61279591500352,0.0,0.0,0.8133333333333332,0.0,0.0,0.0,9.263282233672275,7818.828125,188.7,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,8192,gemma4_e4b,q8_0/q8_0,1,60.612184916011756,0.0,0.0,60.612184916011756,60.612184916011756,-3.1952110902499498,3.3006746114893293,0.8266666666666665,0.0,0.0,0.013333333333333308,9.420548043123924,8118.578125,321.6,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,8192,gemma4_e4b,q8_0/tbq4,1,55.71883254099521,0.0,0.0,55.71883254099521,55.71883254099521,-11.01047042104113,12.372770676657785,0.8133333333333332,0.0,0.0,0.0,9.978672822890218,7939.9375,186.8,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,8192,gemma4_e4b,tbq4/tbq4,1,55.20073758500803,0.0,0.0,55.20073758500803,55.20073758500803,-11.837929007446512,13.427462483777619,0.8266666666666665,0.0,0.0,0.013333333333333308,10.126676281075977,7804.578125,197.2,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,f16/f16,1,58.669895165992784,0.0,0.0,58.669895165992784,58.669895165992784,-10.413657348183714,11.624157254255984,0.7733333333333332,0.0,0.0,0.013333333333333197,8.999504746107815,6828.203125,312.5,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,q4_0/q4_0,1,65.48977604099491,0.0,0.0,65.48977604099491,65.48977604099491,0.0,0.0,0.76,0.0,0.0,0.0,7.359927444220919,6412.640625,397.4,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,q8_0/q8_0,1,61.54078175102768,0.0,0.0,61.54078175102768,61.54078175102768,-6.029940135228529,6.416873782889976,0.7133333333333333,0.0,0.0,-0.046666666666666745,8.010947959590508,6554.6875,327.0,1.0,1.0,0
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,q8_0/tbq4,1,59.13791545701679,0.0,0.0,59.13791545701679,59.13791545701679,-9.699011002880853,10.740758335648204,0.8266666666666665,0.0,0.0,0.06666666666666654,8.573180100818785,6484.453125,284.1,1.0,1.0,0
