run_kind,planner_mode,task_suite,host_label,ctx_size,model,config,task_rows,planner_sec_mean,deterministic_tool_sec_mean,llm_tool_sec_mean,final_sec_mean,prompt_eval_ms_mean,decode_ms_mean,wall_sec_mean
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,q8_0/q8_0,5,0.0,1.565760758239776e-05,8.944397483201465,3.3634298333985497,9529.338,2751.5858,12.308156350205536
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,q8_0/tbq4,5,0.0,1.8433606601320208e-05,8.440802941596484,3.386455741603277,9016.5456,2790.9472,11.827583091403358
ctx_sweep,fixed,core,m4_paper_ctx,8192,qwen35_4b,tbq4/tbq4,5,0.0,1.655000087339431e-05,8.438822791795246,3.493604166797013,9035.5754,2877.622,11.932774924996192
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,f16/f16,5,0.0,1.3722945004701614e-05,10.238205111259594,13.441896328562871,12029.5642,11606.9818,23.680411691404878
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,q4_0/q4_0,5,0.0,1.3261148706078529e-05,11.08153147539124,14.627908726781607,13809.3658,11884.448,25.709735336806624
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,q8_0/q8_0,5,0.0,1.6102474182844163e-05,10.308470097603276,13.396918327128514,12237.64,11441.023799999999,23.7057274736464
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,q8_0/tbq4,5,0.0,1.3728626072406769e-05,10.284158765198663,13.832700622221456,12026.878999999999,12068.6634,24.117167728813364
ctx_sweep,fixed,core,x86_axelera_ctx,2048,gemma4_e4b,tbq4/tbq4,5,0.0,1.530805602669716e-05,10.246335971402004,13.394404881773516,11972.068,11652.865600000001,23.64103488898836
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,f16/f16,5,0.0,1.2446800246834755e-05,12.135768639761954,11.14532422842458,13416.4216,9777.7086,23.281394704058766
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,q4_0/q4_0,5,0.0,1.342548057436943e-05,12.273262060340494,12.834624104248359,14070.6644,10957.5304,25.10819907519035
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,q8_0/q8_0,5,0.0,1.488029956817627e-05,11.014262051368132,11.778150996612386,13245.9266,9464.527,22.792742829583585
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,q8_0/tbq4,5,0.0,1.5514576807618143e-05,11.53653262401931,9.221331962710247,13377.043,7299.905,20.758199888002128
ctx_sweep,fixed,core,x86_axelera_ctx,2048,qwen35_4b,tbq4/tbq4,5,0.0,1.2783566489815712e-05,11.722377969743684,18.055227218475192,13492.559000000001,16207.618,29.777905275952072
ctx_sweep,fixed,core,x86_axelera_ctx,4096,gemma4_e4b,f16/f16,5,0.0,1.412099227309227e-05,17.369310489157215,13.689985523326323,19192.893,11812.3798,31.059606013586745
