run_kind,planner_mode,task_suite,host_label,ctx_size,model,config,repeats,wall_mean_sec,wall_std_sec,wall_ci95_sec,wall_min_sec,wall_max_sec,vs_q4_wall_pct,speedup_vs_q4_pct,quality_mean,quality_std,quality_ci95,quality_delta_vs_q4,tok_s_mean,rss_max_mean_mb,cpu_max_mean_pct,thermal_max_c_mean,rapl_package_joules_mean,rapl_package_watts_avg_mean,battery_joules_mean,battery_power_w_avg_mean,json_valid_mean,plan_valid_mean,server_failures
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,f16/f16,1,145.23534941801336,0.0,0.0,145.23534941801336,145.23534941801336,-17.422254039034957,21.098001448562865,0.8133333333333332,0.0,0.0,0.09333333333333327,7.284727886424443,8400.875,428.4,0.0,0.0,0.0,12828.960364021495,87.61585753424657,1.0,1.0,0
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,q4_0/q4_0,1,175.87710554205114,0.0,0.0,175.87710554205114,175.87710554205114,0.0,0.0,0.72,0.0,0.0,0.0,6.106536701806325,7885.296875,459.1,0.0,0.0,0.0,15258.436217981194,85.24639213483145,1.0,1.0,0
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,q8_0/q8_0,1,163.04630241604173,0.0,0.0,163.04630241604173,163.04630241604173,-7.295323110114326,7.869422940527238,0.7866666666666667,0.0,0.0,0.06666666666666676,6.45828813285862,7995.9375,418.5,0.0,0.0,0.0,13925.21094571928,85.54131728395062,1.0,1.0,0
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,q8_0/tbq4,1,142.92073291598354,0.0,0.0,142.92073291598354,142.92073291598354,-18.738295996227848,23.059196488616607,0.7866666666666667,0.0,0.0,0.06666666666666676,7.073851213695637,8108.34375,312.7,0.0,0.0,0.0,12336.80015387897,85.44800833333333,1.0,1.0,0
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,tbq4/tbq4,1,141.2793002909748,0.0,0.0,141.2793002909748,141.2793002909748,-19.671579848011667,24.4889415362475,0.7333333333333333,0.0,0.0,0.013333333333333308,7.30467943905811,7896.15625,200.8,0.0,0.0,0.0,12477.163120702211,86.3202111111111,1.0,1.0,0
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,f16/f16,1,160.83573245702428,0.0,0.0,160.83573245702428,160.83573245702428,-12.59239268315363,14.406518001925273,0.6799999999999999,0.0,0.0,-0.1266666666666667,7.5791615543251245,7783.015625,456.6,0.0,0.0,0.0,13550.911036313808,83.27556049382716,1.0,0.8,0
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,q4_0/q4_0,1,184.00656120697386,0.0,0.0,184.00656120697386,184.00656120697386,0.0,0.0,0.8066666666666666,0.0,0.0,0.0,6.401945627770113,7072.28125,611.7,0.0,0.0,0.0,12878.693533516376,69.6581445652174,1.0,0.8,0
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,q8_0/q8_0,1,182.909874414996,0.0,0.0,182.909874414996,182.909874414996,-0.5960041776685743,0.5995776857238511,0.6866666666666666,0.0,0.0,-0.12,6.850368270206804,7323.15625,632.8,0.0,0.0,0.0,13682.139293617936,74.6475967032967,1.0,0.8,0
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,q8_0/tbq4,1,144.41091074998258,0.0,0.0,144.41091074998258,144.41091074998258,-21.518607922058486,27.4187388275273,0.7266666666666667,0.0,0.0,-0.07999999999999996,8.69047908833406,6889.890625,384.4,0.0,0.0,0.0,9487.842771876898,64.5287808219178,1.0,1.0,0
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,tbq4/tbq4,1,156.39760787502746,0.0,0.0,156.39760787502746,156.39760787502746,-15.004330905837293,17.653053462306055,0.8133333333333332,0.0,0.0,0.006666666666666599,8.107540883957892,7070.234375,397.8,0.0,0.0,0.0,13201.724389449426,84.17425384615385,1.0,1.0,0
