elapsed_sec,rss_kb,cpu_pct
1777709806.624,32,0.0
1777709807.638,2098896,32.7
1777709808.668,7338672,32.7
1777709809.68,7678768,100.1
1777709810.698,7682256,100.1
1777709811.712,7682304,96.1
1777709812.729,7687552,102.2
1777709813.757,7687552,142.9
1777709814.775,7703552,100.8
1777709815.787,7703552,99.0
1777709816.801,7703568,96.9
1777709817.816,7737568,107.8
1777709818.833,7737600,96.7
1777709819.855,7737600,95.3
1777709820.868,7746848,98.7
1777709821.884,7746848,107.7
1777709822.9,7746848,95.9
1777709823.92,7752048,100.1
1777709824.935,7752048,99.0
1777709825.953,7752096,92.0
1777709826.963,7781072,101.3
1777709827.981,7781072,99.8
1777709828.999,7781072,95.9
1777709830.017,7790112,98.7
1777709831.037,7790112,95.8
1777709832.051,7795280,104.2
1777709833.072,7795280,100.0
1777709834.092,7795280,96.6
1777709835.111,7825088,102.8
1777709836.128,7825088,101.5
1777709837.145,7825104,122.1
1777709838.164,7834064,99.3
1777709839.176,7834080,95.0
1777709840.191,7839200,106.4
1777709841.203,7839200,99.9
1777709842.219,7839200,96.6
1777709843.235,7867424,102.0
1777709844.249,7867424,101.6
1777709845.269,7867424,95.1
1777709846.278,7876320,96.5
1777709847.295,7876320,99.7
1777709848.306,7904816,104.7
1777709849.317,7905840,100.6
1777709850.331,7905856,97.8
1777709851.338,7905856,97.3
