elapsed_sec,rss_kb,cpu_pct
1777727386.442,12768,0.0
1777727387.45,136532,101.0
1777727388.458,7323120,130.0
1777727389.468,7377920,192.0
1777727390.48,7399968,295.0
1777727391.49,7401068,357.0
1777727392.5,7401068,399.0
1777727393.511,7404808,428.0
1777727394.525,7407880,451.0
1777727395.539,7407880,468.0
1777727396.554,7407880,482.0
1777727397.568,7407880,494.0
1777727398.579,7407880,503.0
1777727399.589,7430944,511.0
1777727400.601,7430944,518.0
1777727401.612,7431112,524.0
1777727402.624,7431112,529.0
1777727403.635,7431112,533.0
1777727404.646,7431112,537.0
1777727405.662,7431112,541.0
1777727406.677,7431112,545.0
1777727407.692,7431112,548.0
1777727408.707,7431112,550.0
1777727409.719,7431112,553.0
1777727410.732,7431112,555.0
1777727411.745,7431112,557.0
1777727412.755,7439356,559.0
1777727413.766,7439356,561.0
1777727414.777,7439356,562.0
1777727415.788,7439356,564.0
1777727416.799,7439356,565.0
1777727417.81,7439356,567.0
1777727418.825,7439356,568.0
1777727419.84,7439356,569.0
1777727420.855,7439356,570.0
1777727421.87,7439356,571.0
1777727422.88,7455932,572.0
1777727423.891,7460120,573.0
1777727424.902,7460228,574.0
1777727425.914,7460228,575.0
1777727426.925,7460228,576.0
1777727427.937,7460228,576.0
1777727428.952,7464744,577.0
1777727429.967,7464744,578.0
1777727430.982,7464744,579.0
1777727431.998,7464744,579.0
1777727433.012,7464744,580.0
1777727434.027,7464744,580.0
1777727435.041,7464744,581.0
1777727436.055,7464744,582.0
1777727437.07,7464744,571.0
1777727438.084,7464744,571.0
1777727439.099,7464744,572.0
1777727440.111,7484624,573.0
1777727441.122,7484660,573.0
1777727442.133,7484660,574.0
1777727443.145,7484660,575.0
1777727444.156,7484660,575.0
1777727445.168,7484660,576.0
1777727446.183,7484660,576.0
1777727447.199,7484660,577.0
1777727448.214,7484660,577.0
1777727449.23,7484660,578.0
1777727450.245,7484660,578.0
1777727451.256,7517032,579.0
1777727452.268,7517328,579.0
1777727453.28,7517392,579.0
1777727454.291,7517392,580.0
1777727455.302,7517392,580.0
1777727456.314,7517392,581.0
1777727457.326,7523024,581.0
1777727458.342,7523024,581.0
1777727459.357,7523024,582.0
1777727460.371,7523024,582.0
1777727461.383,7523024,582.0
1777727462.397,7523024,583.0
1777727463.407,7543012,583.0
1777727464.419,7543012,583.0
1777727465.431,7543012,584.0
1777727466.442,7543012,584.0
1777727467.453,7543012,584.0
1777727468.464,7543012,584.0
1777727469.476,7543012,585.0
1777727470.488,7543012,585.0
1777727471.501,7543012,585.0
1777727472.513,7543012,585.0
1777727473.523,7564332,586.0
1777727474.535,7564332,586.0
1777727475.546,7564332,586.0
1777727476.557,7564332,586.0
1777727477.569,7564332,587.0
1777727478.581,7564332,587.0
1777727479.592,7564332,587.0
1777727480.604,7564332,587.0
1777727481.619,7564332,587.0
1777727482.634,7564332,588.0
1777727483.649,7564332,588.0
1777727484.664,7564332,588.0
1777727485.679,7564332,588.0
1777727486.69,7587720,588.0
1777727487.701,7587720,589.0
1777727488.712,7587720,589.0
1777727489.723,7587720,589.0
1777727490.734,7587720,589.0
1777727491.747,7587720,589.0
1777727492.76,7587720,589.0
1777727493.771,7587720,590.0
1777727494.782,7587720,590.0
1777727495.795,7587720,590.0
1777727496.806,7608112,590.0
1777727497.818,7608112,590.0
1777727498.83,7608112,590.0
1777727499.842,7608112,591.0
1777727500.853,7608112,591.0
1777727501.866,7608112,591.0
1777727502.879,7608112,591.0
1777727503.891,7608112,591.0
1777727504.904,7608112,591.0
1777727505.916,7608112,591.0
1777727506.928,7608112,591.0
