tasks,total_wall_sec,mean_wall_sec,mean_score,mean_quality_total,mean_correctness_score,mean_json_score,mean_tool_use_score,mean_safety_score,mean_ground_truth_score,mean_planner_sec,mean_deterministic_tool_sec,mean_llm_tool_sec,mean_final_sec,total_prompt_eval_ms,total_decode_ms,plan_valid_rate,final_json_valid_rate,total_llm_calls,total_prompt_tokens,total_completion_tokens,completion_tokens_per_sec,job_index,host_label,repeat,ctx_size,model,config,type_k,type_v,server_max_rss_mb,server_max_cpu_pct,server_mean_cpu_pct,server_profile_samples,server_returncode,run_kind,task_suite,task_count,planner_mode,context_fill_ratio,raw_dir
5,214.93150118505582,42.986300237011164,0.36,0.36,0.0,0.0,1.0,0.8,0.0,14.260723672993482,1.6632024198770523e-05,10.91882426594384,17.806315044779332,103509.54499999998,110835.31599999999,0.0,0.0,15,6657,884,4.112938285574421,11,x86_axelera_paper,1,8192,qwen35_4b,tbq4/tbq4,tbq4,tbq4,6089.58203125,595.0,576.1813953488372,215,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0011_ctx8192_r01_qwen35_4b_tbq4_tbq4
5,212.3796771490015,42.4759354298003,0.36,0.36,0.0,0.0,1.0,0.8,0.0,12.614586734725162,1.2969784438610078e-05,12.070366034004838,17.790549694234507,103773.447,107988.012,0.0,0.0,15,6651,857,4.035226023056553,12,x86_axelera_paper,1,8192,qwen35_4b,q8_0/q8_0,q8_0,q8_0,6208.22265625,595.0,572.6901408450705,213,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0012_ctx8192_r01_qwen35_4b_q8_0_q8_0
5,198.76593771670014,39.753187543340026,0.76,0.76,0.6,1.0,1.0,0.8,0.4,14.395573497610167,4.570800811052322e-05,10.904537875996903,14.452550046565012,108887.161,89745.594,0.4,1.0,15,7091,862,4.336759154521753,13,x86_axelera_paper,2,8192,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,7556.4296875,593.0,561.34,200,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0013_ctx8192_r02_gemma4_e4b_q4_0_q4_0
5,213.49645216576755,42.69929043315351,0.36000000000000004,0.36000000000000004,0.0,0.0,1.0,0.8,0.0,12.773737567709759,1.3560755178332329e-05,12.253600331395864,17.67152705141343,105016.02100000001,107857.694,0.0,0.0,15,6651,859,4.023486063988719,14,x86_axelera_paper,3,8192,qwen35_4b,q8_0/q8_0,q8_0,q8_0,6208.2890625,595.0,573.0,214,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0014_ctx8192_r03_qwen35_4b_q8_0_q8_0
5,196.13899463694543,39.22779892738909,0.36,0.36,0.0,0.0,1.0,0.8,0.0,11.957104675006121,1.4890823513269424e-05,12.202368896640838,15.067843176517636,108986.914,86549.73000000001,0.0,0.0,15,6680,689,3.5128149875313857,15,x86_axelera_paper,1,8192,qwen35_4b,q4_0/q4_0,q4_0,q4_0,6088.890625,595.0,573.3045685279188,197,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0015_ctx8192_r01_qwen35_4b_q4_0_q4_0
5,196.34516648878343,39.269033297756685,0.36000000000000004,0.36000000000000004,0.0,0.0,1.0,0.8,0.0,11.84879282056354,1.463061198592186e-05,12.594641751144081,14.825180917279795,107414.623,88336.708,0.0,0.0,15,6676,699,3.560057079581491,16,x86_axelera_paper,2,8192,qwen35_4b,q4_0/q4_0,q4_0,q4_0,6089.39453125,597.0,579.0406091370559,197,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0016_ctx8192_r02_qwen35_4b_q4_0_q4_0
5,180.12516234721988,36.02503246944398,0.8133333333333332,0.8133333333333332,0.6666666666666666,1.0,1.0,1.0,0.4,13.137008932372556,3.8380641490221025e-05,10.48386574080214,12.403707647137344,94593.58,85312.14199999999,0.8,1.0,15,6768,843,4.680079057333386,17,x86_axelera_paper,2,8192,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,7841.8125,594.0,561.5635359116022,181,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0017_ctx8192_r02_gemma4_e4b_q8_0_q8_0
5,202.51048650499433,40.50209730099887,0.36,0.36,0.0,0.0,1.0,0.8,0.0,14.406831738678738,1.2789247557520867e-05,11.159532578615472,14.935309071559459,102844.88200000001,99066.568,0.0,0.0,15,6624,793,3.915846599778145,18,x86_axelera_paper,4,8192,qwen35_4b,q8_0/tbq4,q8_0,tbq4,6144.3984375,597.0,580.3004926108374,203,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0018_ctx8192_r04_qwen35_4b_q8_0_tbq4
5,178.52655636076815,35.70531127215363,0.8,0.8,0.6666666666666667,1.0,1.0,1.0,0.3333333333333333,13.029490030370653,3.97954136133194e-05,10.450878729019314,12.224472183827311,94330.48199999999,83998.341,0.8,1.0,15,6772,831,4.654769670909393,19,x86_axelera_paper,4,8192,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,7774.3203125,594.0,561.8722222222223,180,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0019_ctx8192_r04_gemma4_e4b_q8_0_q8_0
5,196.41161631513387,39.282323263026775,0.36000000000000004,0.36000000000000004,0.0,0.0,1.0,0.8,0.0,14.299116344796493,1.4268374070525169e-05,11.628513893159106,13.354240522626787,104346.082,91389.734,0.0,0.0,15,6653,731,3.7217757977570045,20,x86_axelera_paper,5,8192,qwen35_4b,f16/f16,f16,f16,6426.1953125,593.0,564.5837563451777,197,0,repeat_core8k,core,5,llm,0.0,/home/ubuntu/dev/repos/turboquant-cpu/agent/results/20260502_094909_x86_axelera_paper/raw/0020_ctx8192_r05_qwen35_4b_f16_f16
