elapsed_sec,rss_kb,cpu_pct
1777708641.336,32,0.0
1777708642.347,1612064,26.4
1777708643.357,4231424,78.8
1777708644.372,5478288,145.1
1777708645.388,5482624,96.0
1777708646.399,5534912,93.4
1777708647.413,5535200,97.3
1777708648.427,5535376,95.3
1777708649.44,5652800,100.0
1777708650.453,5653328,96.8
1777708651.467,5653568,97.2
1777708652.482,5767760,104.7
1777708653.496,5767760,180.6
1777708654.509,5767760,98.4
1777708655.523,5767760,98.2
1777708656.531,5879472,98.4
1777708657.545,5879504,98.2
1777708658.559,5879568,94.5
1777708659.569,5879616,97.2
1777708660.581,5992000,97.9
1777708661.594,5991824,97.2
1777708662.604,5992048,95.0
1777708663.615,6105696,141.2
1777708664.625,6110240,122.3
1777708665.65,6110160,96.4
1777708666.663,6110272,94.9
1777708667.673,6222480,96.3
1777708668.683,6222480,95.9
1777708669.696,6222480,97.1
1777708670.71,6222480,93.0
1777708671.725,6334816,97.1
1777708672.737,6334816,92.2
1777708673.753,6334816,104.1
1777708674.765,6334816,107.0
1777708675.778,6444640,97.0
1777708676.791,6444640,94.6
1777708677.803,6444672,93.7
1777708678.817,6555568,98.7
1777708679.828,6555568,97.6
1777708680.843,6555568,97.7
1777708681.857,6555568,94.9
1777708682.873,6667904,209.3
1777708683.887,6667904,97.9
1777708684.898,6667936,96.2
1777708685.912,6779072,97.5
1777708686.925,6779072,98.0
1777708687.952,6779072,99.6
1777708688.967,6779072,97.7
1777708689.981,6779104,95.5
1777708690.993,6890704,98.5
1777708692.002,6890704,101.3
1777708693.016,6890704,97.2
1777708694.025,6890704,97.9
1777708695.036,7003120,183.4
1777708696.045,7003120,99.6
1777708697.06,7003120,95.3
1777708698.073,7143520,148.8
1777708699.087,7143520,99.4
1777708700.097,7143344,98.4
1777708701.111,7143520,98.3
