elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777924499.194,8560,0.0,65.55,0
1777924501.206,3376624,99.5,65.0,0
1777924503.233,4600272,187.0,67.2,0
1777924505.255,4732368,249.0,70.5,0
1777924507.279,4732368,281.0,73.25,0
1777924509.303,4732880,299.0,72.15,0
1777924511.32,4732880,313.0,74.35,0
1777924513.344,4732880,321.0,73.25,0
1777924515.361,4732880,327.0,72.7,0
1777924517.383,4732880,332.0,73.8,0
1777924519.407,4732880,336.0,74.35,0
1777924521.427,4732880,340.0,74.35,0
1777924523.455,4732880,343.0,75.45,0
1777924525.484,4784080,346.0,74.9,0
1777924527.503,4787152,348.0,72.7,0
1777924529.527,4787152,349.0,71.6,0
1777924531.55,4787152,349.0,70.5,0
1777924533.57,4787152,349.0,69.95,0
1777924535.594,4787152,350.0,68.3,0
1777924537.624,4787152,350.0,69.95,0
1777924539.642,4787152,350.0,68.85,0
1777924541.659,4787152,351.0,70.5,0
1777924543.681,4787152,351.0,69.4,0
1777924545.698,4787152,351.0,67.75,0
1777924547.72,4787152,351.0,69.95,0
1777924549.736,4787152,351.0,68.3,0
1777924551.754,4787152,352.0,68.85,0
1777924553.77,4787152,352.0,69.95,0
1777924555.787,4787152,352.0,68.85,0
1777924557.811,4787152,352.0,69.4,0
1777924559.833,4787152,352.0,67.75,0
1777924561.888,4787152,352.0,69.4,0
1777924563.907,4787152,352.0,68.85,0
1777924565.921,4787152,352.0,68.3,0
1777924567.938,4787152,352.0,68.85,0
1777924569.96,4787152,353.0,68.85,0
1777924572.009,4787152,353.0,69.4,0
1777924574.023,4787152,353.0,68.85,0
1777924576.039,4787152,353.0,69.4,0
1777924578.056,4787152,353.0,68.85,0
1777924580.081,4865232,353.0,69.95,0
1777924582.107,4865232,354.0,72.7,0
1777924584.13,4865744,354.0,72.7,0
1777924586.155,4865744,355.0,73.8,0
1777924588.177,4865744,355.0,73.8,0
1777924590.189,4865744,356.0,76.0,0
1777924592.217,4865744,356.0,73.8,0
1777924594.244,4865744,356.0,74.35,0
1777924596.267,4865744,357.0,72.7,0
1777924598.29,4865744,357.0,72.7,0
1777924600.326,4865744,357.0,72.7,0
1777924602.35,4865744,358.0,73.8,0
1777924604.371,4867280,358.0,72.7,0
1777924606.393,4867280,358.0,76.0,0
1777924608.421,4867280,359.0,73.25,0
1777924610.456,4867280,359.0,73.25,0
1777924612.476,4867280,359.0,73.25,0
1777924614.503,4867280,360.0,72.15,0
1777924616.526,4867280,360.0,75.45,0
1777924618.55,4867280,360.0,72.15,0
1777924620.57,4867280,360.0,73.8,0
1777924622.59,4867280,361.0,74.9,0
1777924624.626,4867280,361.0,71.6,0
1777924626.652,4867280,361.0,73.25,0
1777924628.671,4867280,361.0,74.35,0
1777924630.694,4867280,362.0,73.25,0
1777924632.717,4867280,362.0,74.35,0
1777924634.745,4867280,362.0,71.05,0
1777924636.773,4867280,362.0,73.8,0
1777924638.793,4867280,363.0,72.7,0
1777924640.804,4867280,363.0,73.25,0
1777924642.823,4867280,363.0,71.6,0
1777924644.849,4867280,363.0,72.15,0
1777924646.878,4867280,363.0,73.25,0
1777924648.903,4867280,363.0,71.6,0
1777924650.926,4867280,364.0,73.25,0
1777924652.951,4867280,364.0,72.15,0
1777924654.961,4867280,364.0,73.25,0
1777924656.983,4867280,364.0,72.7,0
1777924659.003,4868816,364.0,73.25,0
1777924661.025,4868816,365.0,73.25,0
1777924663.05,4868816,365.0,72.7,0
1777924665.078,4868816,365.0,72.15,0
1777924667.105,4868816,365.0,71.05,0
1777924669.135,4868816,365.0,72.7,0
1777924671.161,4868816,366.0,69.95,0
1777924673.187,4868816,366.0,71.05,0
1777924675.213,4868816,366.0,71.05,0
1777924677.241,4868816,366.0,71.6,0
1777924679.27,4868816,366.0,71.05,0
1777924681.297,4868816,366.0,70.5,0
1777924683.323,4868816,367.0,71.05,0
1777924685.349,4868816,367.0,71.05,0
1777924687.37,4868816,367.0,71.6,0
1777924689.395,4868816,367.0,71.05,0
1777924691.416,4868816,367.0,72.7,0
1777924693.452,4869328,367.0,72.7,0
1777924695.479,4869328,367.0,74.35,0
1777924697.504,4869328,368.0,73.8,0
1777924699.527,4869328,368.0,74.35,0
1777924701.553,4869328,368.0,73.25,0
