model,model_path,type_k,type_v,config,threads,ctx_size,chunks,ppl,ppl_stderr,elapsed_sec,returncode,stdout,stderr,command
gemma4_e4b,/home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf,f16,f16,f16/f16,6,512,20,117.9486,8.72154,160.100,0,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_f16.stdout.txt,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_f16.stderr.txt,/home/ubuntu/dev/repos/turboquant-cpu/llama.cpp/build/bin/llama-perplexity -m /home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf -f llama.cpp/wikitext-2-raw/wiki.test.raw -t 6 -c 512 --chunks 20 -ctk f16 -ctv f16 -fa on -ngl 0
gemma4_e4b,/home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf,q8_0,q8_0,q8_0/q8_0,6,512,20,117.4703,8.67742,166.568,0,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_q8_0.stdout.txt,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_q8_0.stderr.txt,/home/ubuntu/dev/repos/turboquant-cpu/llama.cpp/build/bin/llama-perplexity -m /home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf -f llama.cpp/wikitext-2-raw/wiki.test.raw -t 6 -c 512 --chunks 20 -ctk q8_0 -ctv q8_0 -fa on -ngl 0
gemma4_e4b,/home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf,q4_0,q4_0,q4_0/q4_0,6,512,20,133.7736,10.00378,179.472,0,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_q4_0.stdout.txt,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_q4_0.stderr.txt,/home/ubuntu/dev/repos/turboquant-cpu/llama.cpp/build/bin/llama-perplexity -m /home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf -f llama.cpp/wikitext-2-raw/wiki.test.raw -t 6 -c 512 --chunks 20 -ctk q4_0 -ctv q4_0 -fa on -ngl 0
gemma4_e4b,/home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf,tbq4,tbq4,tbq4/tbq4,6,512,20,113.8643,8.33797,160.621,0,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_tbq4.stdout.txt,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_tbq4.stderr.txt,/home/ubuntu/dev/repos/turboquant-cpu/llama.cpp/build/bin/llama-perplexity -m /home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf -f llama.cpp/wikitext-2-raw/wiki.test.raw -t 6 -c 512 --chunks 20 -ctk tbq4 -ctv tbq4 -fa on -ngl 0
gemma4_e4b,/home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf,q8_0,tbq4,q8_0/tbq4,6,512,20,116.7188,8.60316,161.759,0,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_q8_0_tbq4.stdout.txt,turboquant/results/paper_ppl/gemma4_e4b_x86_ppl20/gemma4_e4b_q8_0_tbq4.stderr.txt,/home/ubuntu/dev/repos/turboquant-cpu/llama.cpp/build/bin/llama-perplexity -m /home/ubuntu/models/gemma-4-E4B-it-Q4_0.gguf -f llama.cpp/wikitext-2-raw/wiki.test.raw -t 6 -c 512 --chunks 20 -ctk q8_0 -ctv tbq4 -fa on -ngl 0
